abr_ware_code,ware_label_nl,ware_uri,en_aliases,needs_review
,handgemaakt aardewerk (Angelsaksische-stijlgroep),https://data.cultureelerfgoed.nl/term/id/abr/55c4cea6-71fd-48aa-b3e6-f9e6a5e72d02,,
,handgemaakt aardewerk (Hessens-Schortens aardewerk),https://data.cultureelerfgoed.nl/term/id/abr/1c34e237-f129-423c-985d-0d728f274f48,,
,industrieel aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/b2228bf9-daf7-4d96-b9e1-12582cf487ea,,
,industrieel blauw,https://data.cultureelerfgoed.nl/term/id/abr/3e738fb7-8d7f-43bf-972d-247a381950c9,,
,industrieel geel,https://data.cultureelerfgoed.nl/term/id/abr/0d441ae6-dd69-4b9b-ba4e-80998ca7a325,,
,industrieel groen,https://data.cultureelerfgoed.nl/term/id/abr/05b35362-59cb-4a8e-a3a9-aae00d9ef6b9,,
,industrieel kleur,https://data.cultureelerfgoed.nl/term/id/abr/e0c24c39-098d-4a92-a88e-c1327316e6d9,,
,industrieel rood,https://data.cultureelerfgoed.nl/term/id/abr/1e247f88-254b-40b3-8553-b742e1be3ca7,,
,industrieel steengoed,https://data.cultureelerfgoed.nl/term/id/abr/0bfd8928-92f8-459f-9244-0d46a27007b3,,
,industrieel wit,https://data.cultureelerfgoed.nl/term/id/abr/918f7fd8-491a-4663-9517-694925ee04b9,,
,industrieel wit biscuit,https://data.cultureelerfgoed.nl/term/id/abr/715acd89-759d-48f4-9a9e-b36ec0432d95,,
,"industrieel wit, boerenbont",https://data.cultureelerfgoed.nl/term/id/abr/f21fabb5-a73c-4922-a321-dc67cdf6a53d,,
,"industrieel wit, drukdecor",https://data.cultureelerfgoed.nl/term/id/abr/cfff1cb0-b610-4558-907d-a439ce5bf12e,,
,"industrieel wit, geverfd, gesponsd, gemarmerd gestempeld",https://data.cultureelerfgoed.nl/term/id/abr/7b8ee448-0e57-4657-a76a-b42c91f109da,,
,industrieel zwart,https://data.cultureelerfgoed.nl/term/id/abr/ee2b879f-05a7-4006-9cf4-aeb929d4f7bd,,
,"industrieel, beschilderd, drukdecor",https://data.cultureelerfgoed.nl/term/id/abr/92412651-5e83-41a9-b08d-66a01e3e2712,,
,jydepotaardewerk,https://data.cultureelerfgoed.nl/term/id/abr/c742516b-2a85-4abb-80c9-ea5661ed20a5,,
,karolingisch grijsbakkend aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/1a663a6d-dced-4509-9657-13ac276e425d,,
,kogelpotaardewerk,https://data.cultureelerfgoed.nl/term/id/abr/257b0b11-a774-4acd-b187-c70ff5469884,,
,kogelpotaardewerk schelgruismagering,https://data.cultureelerfgoed.nl/term/id/abr/56ecd5d7-2591-416f-99f1-c227ed8650d9,,
,kogelpotaardewerk steengruismagering,https://data.cultureelerfgoed.nl/term/id/abr/e8d669cb-37a1-4fcd-8f62-a772d142cad7,,
,kogelpotaardewerk zandmagering,https://data.cultureelerfgoed.nl/term/id/abr/0bcfddae-43cb-4ef9-ba96-b58cc9cf527c,,
,kunstaardewerk,https://data.cultureelerfgoed.nl/term/id/abr/33ca8156-5038-4b9c-ad99-f6c3b9b2a0a6,,
,kunstaardewerk biscuit,https://data.cultureelerfgoed.nl/term/id/abr/4e010276-1498-47fe-980c-bd8dd5b53fd2,,
,kurkurnaardewerk,https://data.cultureelerfgoed.nl/term/id/abr/c37f87d4-0445-4607-83ef-c40c02a8392b,,
